record_side,payment_id,bank_row_ids,exception_type,likely_cause,recommended_action,confidence,explanation_source,expected_net_amount,candidate_bank_total
gateway,pay_00001,bk_00001,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,793.07,965.48
gateway,pay_00010,bk_00013,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,2683.79,2796.61
gateway,pay_00012,bk_00015;bk_00016,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",high,rule_based,6506.91,13013.82
gateway,pay_00014,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",high,rule_based,3264.44,0.0
gateway,pay_00028,bk_00031;bk_00032,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",high,rule_based,8431.87,16863.74
gateway,pay_00032,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",high,rule_based,3817.53,0.0
gateway,pay_00038,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",high,rule_based,5293.88,0.0
gateway,pay_00039,bk_00042;bk_00043,EXCEPTION_DUPLICATE_BANK,The bank file contains duplicate-looking settlement rows for the same payment reference. It is unsafe to auto-match because this could be a duplicate export row or an actual duplicate credit.,"Verify the UTR and bank statement, confirm whether one row is an export duplicate, and only then mark a single row as the true settlement.",high,rule_based,4390.48,8780.96
gateway,pay_00043,bk_00047,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",high,rule_based,6756.52,6756.52
gateway,pay_00044,bk_00048,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,4631.55,4716.83
gateway,pay_00051,,EXCEPTION_MISSING_SETTLEMENT,"The payment exists in the gateway file but no matching bank payout row was found. This usually means delayed settlement, incomplete bank export, payout hold, or payout failure.","Check whether the bank export covers the expected settlement date, and verify if the payout is pending, held, or failed. Escalate only after the allowed settlement lag is exceeded.",high,rule_based,6770.49,0.0
gateway,pay_00054,bk_00059,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,4518.45,4653.56
gateway,pay_00057,bk_00062,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,6441.31,6656.14
gateway,pay_00059,bk_00064,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",high,rule_based,7822.05,7822.05
gateway,pay_00062,bk_00067,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,1226.62,1393.04
gateway,pay_00064,bk_00070,EXCEPTION_DUPLICATE_GATEWAY,"The same payment_id appears more than once in the gateway input. This usually comes from duplicate ingestion, replayed jobs, or repeated exports.","Deduplicate the gateway data on payment_id, identify the upstream source of duplicate rows, and keep one canonical record with an audit note.",high,rule_based,3025.44,3025.44
gateway,pay_00074,bk_00081,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,4093.69,4331.9
gateway,pay_00079,bk_00086,EXCEPTION_AMOUNT_MISMATCH,"The bank payout amount does not equal the expected net settlement amount. Possible reasons include fee/tax differences, partial settlement, chargeback offset, manual adjustment, or a wrong reference in the payout file.","Compare gross amount, fees, taxes, and expected net against the bank row. Check for refunds, chargebacks, manual adjustments, or incorrect mapping. If still unresolved, escalate to finance ops with payment_id and UTR.",medium,rule_based,2287.64,2388.93
bank,unknown_pay_001,bk_00088,EXCEPTION_ORPHAN_BANK,"A bank payout row exists, but no corresponding payment was found in the gateway input. This may be a bad reference, manual adjustment, legacy payout, or missing gateway data.","Search other systems using the bank reference/UTR, confirm whether the gateway extract is incomplete, and keep this as a bank-side exception until resolved.",medium,rule_based,,1114.16
bank,unknown_pay_002,bk_00089,EXCEPTION_ORPHAN_BANK,"A bank payout row exists, but no corresponding payment was found in the gateway input. This may be a bad reference, manual adjustment, legacy payout, or missing gateway data.","Search other systems using the bank reference/UTR, confirm whether the gateway extract is incomplete, and keep this as a bank-side exception until resolved.",medium,rule_based,,6147.59
bank,unknown_pay_003,bk_00090,EXCEPTION_ORPHAN_BANK,"A bank payout row exists, but no corresponding payment was found in the gateway input. This may be a bad reference, manual adjustment, legacy payout, or missing gateway data.","Search other systems using the bank reference/UTR, confirm whether the gateway extract is incomplete, and keep this as a bank-side exception until resolved.",medium,rule_based,,2396.29
